Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,14023015
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6531817
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,5504082
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3699895
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2634939
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,400284
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,509970
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,254578
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,381782
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,265690
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,243388
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,109601
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,141281
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,88691
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,46508
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,44459
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,31717
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,28239
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,21255
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,19554
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,11125
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2583
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,804
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,1106
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,14033234
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,6533405
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,5508707
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3698307
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,2636131
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,399653
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,509979
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,253931
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,381768
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,265959
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,243641
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,109421
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,141259
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,88530
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,44397
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,31642
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,46493
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,28179
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,21223
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,19578
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,11135
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,2584
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,803
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,1106
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10553135,14045707
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5686170,6536441
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4256803,3696305
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3760645,5514972
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2053135,2638220
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,524215,399206
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480477,510084
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,396298,253420
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369321,381812
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,195416,243813
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,157840,109247
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134214,141284
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122028,88409
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120438,266480
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60767,44338
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50897,31572
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,42180,28128
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31204,46547
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,13103,21252
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12822,19602
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5050,11156
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1968,2586
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,934,802
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,857,1106
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14053541
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,6537011
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3694389
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,5521265
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,2640539
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,398618
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,510163
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,252840
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,381866
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177326,244052
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,109063
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,141233
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,88251
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,267117
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,44263
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,31522
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,28067
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,46647
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,21280
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,13095,19625
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,11180
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,2588
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,801
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1106
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14067108
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,6540190
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3695393
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,5531171
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2644531
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,398206
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,510453
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,252396
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,382076
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,141228
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,244479
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,109010
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,88152
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,267807
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,31468
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,44262
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,28034
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,46772
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,19654
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,21323
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,11206
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,2591
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,800
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,1107
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11860567,14075102
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6301772,6541053
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3894421,3694671
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,5540599
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,2648149
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544903,397674
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,467770,510607
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,395495,251877
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354429,382176
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,195869,244655
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,155782,141175
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,155660,108840
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,124042,88021
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,74112,268508
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,57862,44212
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,50411,31399
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,32440,28018
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14412,46889
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,13137,19677
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,12902,21353
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3903,11232
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2033,2593
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,994,799
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,847,1107
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14081234
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6541829
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3692399
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5546644
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2650487
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,397413
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510970
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,251623
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382556
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108601
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244950
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141150
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,87845
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,269156
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44160
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31322
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,27971
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46984
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19697
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21383
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11258
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2595
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,798
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1107
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,14091056
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6543500
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3691422
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,5554028
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2653103
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,396909
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,511094
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,251117
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,382642
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,108401
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,141114
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,245293
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,87699
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,269752
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,44105
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,31236
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,27921
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,47077
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,19720
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,21418
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,11281
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,2597
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,1107
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,797
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,12004167,14098700
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,6556519,6543452
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4042146,5559566
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,3896888,3690669
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2240151,2654615
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,568252,396281
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,527247,511034
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,415527,250514
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398340,382584
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,167849,108183
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,159369,141047
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,158773,270158
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,139572,87508
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,138689,245683
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,63252,44034
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,55089,31148
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,51076,47062
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,45601,27856
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,16617,21435
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,14214,19740
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6359,11299
US-Canada Border,10/01/2018 12:00:00 AM,Trains,2059,2598
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,999,796
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,943,1107
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,14107066
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,6544276
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,5563916
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3691279
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2655772
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,395921
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,511157
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,250104
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,382665
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,270489
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,245995
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,108012
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,141046
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,87363
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,43962
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,47036
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,31078
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,27798
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,21405
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,19763
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,11311
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,2600
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,795
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,1107
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12338175,14113593
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6554844,6544236
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,5560951
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3851303,3690688
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,2654503
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,552741,395342
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,511166
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,401582,249545
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377595,382683
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239821,270602
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,218838,246095
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,159349,140978
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,107861
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141581,87162
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83530,46901
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,43902
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55602,21278
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,42889,31034
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,40034,27752
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14961,19780
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9222,11318
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2099,2601
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,928,794
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,909,1107
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,12700131,14118828
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,6476572,6544486
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6118700,5558885
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,3916503,3689851
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2902555,2653584
US-Mexico Border,07/01/2018 12:00:00 AM,Trucks,514241,394901
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482545,511272
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,370512,249096
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,362798,382756
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,256556,246056
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223674,270775
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,151194,140940
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,144717,107724
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129790,87004
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80348,46777
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60140,43841
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,48206,30970
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,48139,21178
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,40489,27704
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,15680,19795
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9385,11325
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1985,2603
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,950,793
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,875,1107
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,14127069
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,6545153
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,5561314
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3690340
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,2653928
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,394401
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,511319
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,248581
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,382824
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,270993
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,107574
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,86789
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,140945
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,246604
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,43762
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,46720
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,30897
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,27642
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,21094
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,19815
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,11332
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,2605
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,792
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1107
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,14133418
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,6544487
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,5565775
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,3689741
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,2654954
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,393777
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,511270
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,247984
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,382784
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,271266
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,107406
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,140909
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,86579
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,247119
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,43661
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,30812
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,46728
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,27588
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,21073
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13097,19840
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,11343
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,2606
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,791
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,1107
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,12200002,14140659
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicles,6505841,6544631
US-Mexico Border,04/01/2018 12:00:00 AM,Pedestrians,3860744,3689100
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3672087,5572867
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2013265,2657357
US-Mexico Border,04/01/2018 12:00:00 AM,Trucks,542965,393218
US-Canada Border,04/01/2018 12:00:00 AM,Trucks,501741,511305
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Full,394125,247436
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,375045,382812
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Empty,146387,140888
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Full,145538,107263
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,137434,86388
US-Mexico Border,04/01/2018 12:00:00 AM,Bus Passengers,122823,247584
US-Canada Border,04/01/2018 12:00:00 AM,Bus Passengers,116462,271845
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Empty,69628,43563
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Empty,48490,30745
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Full,39412,27543
US-Canada Border,04/01/2018 12:00:00 AM,Pedestrians,22471,46818
US-Mexico Border,04/01/2018 12:00:00 AM,Buses,13658,19863
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,12620,21104
US-Canada Border,04/01/2018 12:00:00 AM,Buses,5153,11366
US-Canada Border,04/01/2018 12:00:00 AM,Trains,1969,2608
US-Mexico Border,04/01/2018 12:00:00 AM,Trains,902,790
US-Mexico Border,04/01/2018 12:00:00 AM,Train Passengers,826,1108
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,12693029,14146101
